timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:56:13.049, [Not Supported], 10 %, 4 %
2018/11/16 15:56:14.050, [Not Supported], 10 %, 4 %
2018/11/16 15:56:15.050, [Not Supported], 10 %, 4 %
2018/11/16 15:56:16.051, [Not Supported], 11 %, 5 %
2018/11/16 15:56:17.051, [Not Supported], 9 %, 4 %
2018/11/16 15:56:18.052, [Not Supported], 10 %, 4 %
2018/11/16 15:56:19.053, [Not Supported], 11 %, 5 %
2018/11/16 15:56:20.053, [Not Supported], 10 %, 4 %
2018/11/16 15:56:21.054, [Not Supported], 10 %, 4 %
2018/11/16 15:56:22.054, [Not Supported], 11 %, 5 %
2018/11/16 15:56:23.055, [Not Supported], 13 %, 5 %
2018/11/16 15:56:24.056, [Not Supported], 10 %, 4 %
2018/11/16 15:56:25.056, [Not Supported], 10 %, 4 %
